Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Turkey,137,93,7762575,16,1304858,28,2306668,0,792,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2242
Turkmenistan,120,76,449895,16,92936,28,164288,0,795,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2026
Turks and Caicos Islands,113,74,2824,13,489,26,977,1,796,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2091
Tuvalu,120,76,878,16,181,28,321,0,798,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2138
Uganda,147,103,4546237,16,692387,28,1223969,0,800,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2223
Ukraine,120,76,3344904,16,688070,28,1216338,0,804,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2044
United Arab Emirates,134,95,923625,13,125173,26,249836,1,784,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2243
United Kingdom,98,77,5199825,4,283627,17,1114248,1,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130
United Rep. of Tanzania,163,119,6907649,16,907219,28,1603740,0,834,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2224
United States of America,139,59,19359951,16,5151313,64,20934827,1,840,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2118
United States Virgin Islands,113,74,7732,13,1340,26,2675,1,850,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2092
Uruguay,113,74,255892,13,44349,26,88517,1,858,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2093
Uzbekistan,135,91,3001868,16,515841,28,911881,0,860,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2027
Vanuatu,135,91,27296,16,4691,28,8292,0,548,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2099
Venezuela (Boliv. Rep. of),116,72,2065461,16,445994,28,788407,0,862,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2094
Viet Nam,120,76,7346717,16,1508689,28,2666991,0,704,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2150
Yemen,148,104,3026946,16,456099,28,806270,0,887,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2244
Zambia,122,78,1391729,16,279350,28,493822,0,894,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2225
Zimbabwe,144,100,1458564,16,229059,28,404920,0,716,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2226
